,letter,x,y,cluster
0,1CO,0.12876444299437279,-0.7844131782930489,2
1,GAL,-0.13469583906438354,-0.7960645133600631,2
2,ROM,0.2724793117386599,-0.7369483215496418,2
3,2CO,0.39537303670760576,-0.6733544692947057,2
4,PHM,-0.0856992038189177,0.926863805620514,3
5,PHP,-0.2825569862790819,0.3012352853467237,1
6,TIT,-0.8715600709715616,0.3097390678730391,1
7,COL,0.4004169300539234,0.6372856599957173,0
8,1TH,0.5662137011198595,-0.10272447621297445,0
9,2TH,0.6702349276629714,0.5044795995877432,3
10,1TI,-0.8665848456502587,0.01584232487768804,1
11,2TI,-0.7641161292645948,0.2059759632581896,1
12,EPH,0.5717307247714055,0.19208325215081867,0
